1,It always seems impossible until it is done.,10,Nelson Mandela
2,It does not matter how slowly you go as long as you do not stop.,9,Confucius
3,With the new day comes new strength and new thoughts.,8,Eleanor Roosevelt
4,We may encounter many defeats but we must not be defeated.,7,Maya Angelou
5,"The most difficult thing is the decision to act, the rest is merely tenacity.",6,Amelia Earhart
6,"If you're going through hell, keep going.",5,Winston Churchill
7,"The most effective way to do it, is to do it.",4,Amelia Earhart
8,Education is the most powerful weapon which you can use to change the world.,3,Nelson Mandela
9,Don't look at your feet to see if you are doing it right. Just dance.,2,Anne Lamott
10,I scorched the earth with my talent and I let my light shine.,1,André Leon Talley
